dt,s1,s2,s1_norm,s2_norm,s1_ma10,s1_ma30,s1_ma60,s2_ma10,s2_ma30,s2_ma60
2015-05-05,204,35.15845940586995,0.39189109461656446,0.35518868067103776,0.42416447887910513,0.3975901644565766,0.42522104800674776,0.4323201952971293,0.39963064006959176,0.4241231321997307
2015-05-06,320,65.46435097124139,0.6147311288102972,0.6613542471823689,0.46008782921895686,0.4030971308188355,0.43213677320586363,0.46211017441779145,0.4051587171135046,0.43287927348203653
2015-05-07,225,55.04675678811146,0.43223282494474025,0.5561103998636658,0.4476011031649977,0.40629885544805583,0.4334814975501361,0.46212645296961263,0.41470558802632806,0.4371380008731108
2015-05-08,190,47.35950650763203,0.364996607731114,0.4784498785765559,0.42262765105707933,0.39803840590466744,0.43229685943732465,0.44518890986243165,0.41392861022132194,0.4381226458362076
2015-05-09,170,20.69230142970484,0.3265759121804704,0.20904417796068767,0.4145593049914441,0.40367344125209514,0.42989556596540945,0.430395365367869,0.4115860929208161,0.4343143053032753
2015-05-10,194,43.633622749837386,0.3726807468412427,0.4408091014029185,0.4016883719819786,0.4043137861779392,0.4295753935024874,0.41989529528245384,0.41506805941736763,0.4343466130991474
2015-05-11,146,33.8622461255789,0.28047107751969813,0.342093673305101,0.40207257893748505,0.40322519980400434,0.42403640989393626,0.42250011152371425,0.4155093268950798,0.4304411968029251
2015-05-12,311,56.78439113259467,0.5974418158125077,0.5736648678561579,0.4272381345231566,0.40655499341839346,0.42470877206607255,0.44062829393094605,0.4185332198323168,0.4309745471472093
2015-05-13,254,49.47296864206538,0.4879428334931734,0.49980115049981455,0.4485616205537638,0.4042497516853549,0.43034380741350026,0.46068570458363567,0.4183788724602782,0.43625812482838666
2015-05-14,252,50.906437722292644,0.4841007639381091,0.5142827859295979,0.43530648058879173,0.4074514763145752,0.42947934176361074,0.4630798963247906,0.41869746686525633,0.43572118901981216
2015-05-15,160,44.10961319094857,0.3073655644051486,0.44561779949854896,0.42685392756765017,0.3998954061896152,0.424932892790118,0.47212280820754166,0.4168405614218572,0.4334713182746182
2015-05-16,145,26.432102082263736,0.27855004274216594,0.26703057029836724,0.39323581896083704,0.39387616388668106,0.4210267887424692,0.4326904405191415,0.40964551058646737,0.427611505946419
2015-05-17,360,66.97045943168332,0.6915725199115844,0.6765697226625758,0.41916978845752145,0.4049541311037833,0.42650173785843587,0.4447363727990325,0.41930843469777646,0.43144418200548196
2015-05-18,306,64.77942660833511,0.5878366419248467,0.6544347920944275,0.4414537918768947,0.4155198223802103,0.4256052549622542,0.4623348641508197,0.43457909850251275,0.4319064945047549
2015-05-19,252,52.669819552531514,0.4841007639381091,0.5320973681492401,0.45720627705265865,0.4189136504871838,0.42973547973394843,0.49464018316967495,0.44322054429682467,0.43641882703895807
2015-05-20,140,41.13837740897148,0.268944868854505,0.41560086089552173,0.44683268925398484,0.4116137183325615,0.425733323947423,0.49211935911893523,0.44450476256849725,0.43676998812974116
2015-05-21,198,41.74985204123213,0.3803648859513714,0.42177828935987044,0.4568220700971521,0.41161371833256155,0.4185614607779696,0.5000878207244123,0.4419987018825739,0.4347705956853481
2015-05-22,144,46.89826461997326,0.27662900796463374,0.4737901778867019,0.4247407893123648,0.4067470968961467,0.4168325294781906,0.4901003517274666,0.4459260986579069,0.436017802217182
